dek,university,faculty,program,count
dek69,มหาวิทยาลัยธรรมศาสตร์,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,67
dek69,มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมซอฟต์แวร์,87
dek69,มหาวิทยาลัยเกษตรศาสตร์,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,79
dek69,มหาวิทยาลัยเกษตรศาสตร์,เกษตร,เกษตรศาสตร์,54
dek69,มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ,การจัดการ,69
dek69+1,จุฬาลงกรณ์มหาวิทยาลัย,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,145
dek69+1,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,89
dek69+1,จุฬาลงกรณ์มหาวิทยาลัย,นิติศาสตร์,นิติศาสตร์บัณฑิต,62
dek69+1,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,การปกครอง,47
dek69+1,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,แพทยศาสตร์บัณฑิต,167
dek69+1,มหาวิทยาลัยมหิดล,เภสัชศาสตร์,เภสัชศาสตร์บัณฑิต,58
dek69+1,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เทคโนโลยีชีวภาพ,41
dek69+1,มหาวิทยาลัยธรรมศาสตร์,นิติศาสตร์,นิติศาสตร์บัณฑิต,76
dek69+1,มหาวิทยาลัยธรรมศาสตร์,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,54
dek69+1,มหาวิทยาลัยธรรมศาสตร์,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,38
dek69+1,มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมซอฟต์แวร์,45
dek69+1,มหาวิทยาลัยเกษตรศาสตร์,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,33
